#ref;type;comment;from;to;operator
5903;bus;;;;KVG Stade GmbH & Co. KG
5904;bus;;;;KVG Stade GmbH & Co. KG
6702;bus;;;;KVG Stade GmbH & Co. KG
6920;bus;;;;KVG Stade GmbH & Co. KG

== Schulbus Verkehr
247;bus;;;;KVG Stade GmbH & Co. KG
347;bus;;;;KVG Stade GmbH & Co. KG
447;bus;;;;KVG Stade GmbH & Co. KG
448;bus;;;;KVG Stade GmbH & Co. KG
548;bus;;;;KVG Stade GmbH & Co. KG
4409;bus;;;;KVG Stade GmbH & Co. KG
4602;bus;;;;KVG Stade GmbH & Co. KG
4603;bus;;;;KVG Stade GmbH & Co. KG
4604;bus;;;;KVG Stade GmbH & Co. KG
4605;bus;;;;KVG Stade GmbH & Co. KG
4606;bus;;;;KVG Stade GmbH & Co. KG
4608;bus;;;;KVG Stade GmbH & Co. KG
4609;bus;;;;KVG Stade GmbH & Co. KG
4611;bus;;;;KVG Stade GmbH & Co. KG
4613;bus;;;;KVG Stade GmbH & Co. KG
4615;bus;;;;KVG Stade GmbH & Co. KG
4618;bus;Baustellenfahrplan bis 2020-06-30;;;KVG Stade GmbH & Co. KG
4620;bus;;;;KVG Stade GmbH & Co. KG
4621;bus;;;;KVG Stade GmbH & Co. KG
4623;bus;;;;KVG Stade GmbH & Co. KG
4630;bus;;;;KVG Stade GmbH & Co. KG
4631;bus;;;;KVG Stade GmbH & Co. KG
4632;bus;;;;KVG Stade GmbH & Co. KG
4633;bus;;;;KVG Stade GmbH & Co. KG
4640;bus;;;;KVG Stade GmbH & Co. KG
4641;bus;;;;KVG Stade GmbH & Co. KG
4642;bus;;;;KVG Stade GmbH & Co. KG
4643;bus;;;;KVG Stade GmbH & Co. KG
4644;bus;;;;KVG Stade GmbH & Co. KG
4650;bus;;;;KVG Stade GmbH & Co. KG
4661;bus;;;;KVG Stade GmbH & Co. KG
4662;bus;;;;KVG Stade GmbH & Co. KG
4663;bus;;;;KVG Stade GmbH & Co. KG
4664;bus;;;;KVG Stade GmbH & Co. KG
4665;bus;;;;KVG Stade GmbH & Co. KG
4666;bus;;;;KVG Stade GmbH & Co. KG
4681;bus;;;;KVG Stade GmbH & Co. KG
4682;bus;;;;KVG Stade GmbH & Co. KG
4683;bus;;;;KVG Stade GmbH & Co. KG
4684;bus;;;;KVG Stade GmbH & Co. KG
4887;bus;;;;KVG Stade GmbH & Co. KG
4888;bus;;;;KVG Stade GmbH & Co. KG
4889;bus;;;;KVG Stade GmbH & Co. KG
4949;bus;Anruf-Linien-Taxi parallel zur Linie 4632;;;KVG Stade GmbH & Co. KG

== Busverkehr im Landkreis Stade
=== Stadtverkehr Buxtehude 
2101;bus;;;;KVG Stade GmbH & Co. KG
2102;bus;;;;KVG Stade GmbH & Co. KG
2103;bus;;;;KVG Stade GmbH & Co. KG
